ArrayTaskID date     time lead time
0           20081004 0000 168      
1           20081004 0600 168      
2           20081004 1200 168      
3           20081004 1800 168      
4           20081005 0000 168      
5           20081005 0600 168      
6           20081005 1200 168      
7           20081005 1800 162      
8           20081006 0000 156      
9           20081006 0600 150      
10          20081006 1200 144      
11          20081006 1800 138      
12          20081007 0000 132      
13          20081007 0600 126      
14          20081007 1200 120      
15          20081007 1800 114      
16          20081008 0000 108      
17          20081008 0600 102      
18          20081008 1200 96       
19          20081008 1800 90       
20          20081009 0000 84       
21          20081009 0600 78       
22          20081009 1200 72       
23          20081009 1800 66       
24          20081010 0000 60       
25          20081010 0600 54       
26          20081010 1200 48       
27          20081010 1800 42       
28          20081011 0000 36       
29          20081011 0600 30       
30          20081011 1200 24       
31          20081011 1800 18       
32          20081012 0000 12       
33          20081012 0600 6        
